"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23"
"12";"Наименование организации отдыха";"Детский оздоровительный лагерь ""Жемчужина""";"Детский оздоровительный лагерь ""Жемчужина""";"Детский оздоровительный лагерь ""Жемчужина""";"Вид отдыха";"Вид отдыха";"Вид отдыха";"Индивидуальный";"Индивидуальный";"Индивидуальный";"Номер заезда/смены";"Номер заезда/смены";"Номер заезда/смены";"IV смена";"IV смена";"IV смена";"Период заезда/смены";"Период заезда/смены";"Период заезда/смены";"03.08.2019 - 23.08.2019";"03.08.2019 - 23.08.2019";"03.08.2019 - 23.08.2019";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"17";"Болезни нервной системы";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"3";"1";"0";"9"
"18";"Болезни глаза";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"1";"2";"1";"0";"0";"0";"0";"2";"0";"0";"10"
"19";"Болезни уха и сосцевидного отростка";"0";"2";"1";"1";"0";"1";"2";"3";"5";"2";"2";"3";"4";"5";"3";"3";"2";"0";"2";"0";"0";"41"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";"2";"2";"1";"0";"0";"0";"3";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"12"
"21";"Болезни органов дыхания";"3";"0";"2";"1";"0";"1";"3";"0";"0";"0";"0";"2";"5";"0";"2";"2";"3";"0";"2";"3";"0";"29"
"22";"Болезни органов пищеварения";"0";"0";"2";"0";"3";"1";"0";"0";"2";"0";"1";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"14"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"6"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"28";"Всего";"3";"2";"5";"2";"8";"6";"6";"3";"7";"2";"7";"10";"14";"8";"5";"12";"6";"3";"9";"5";"1";"124"
"29";"Страховые случаи";"1";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"3";"0";"6";"0";"0";"0";"0";"0";"15"
