"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23"
"12";"Наименование организации отдыха";"Коммунальное унитарное предприятие ""Детский реабилитационно-оздоровительный центр ""Жемчужина"" (Обособка)";"Коммунальное унитарное предприятие ""Детский реабилитационно-оздоровительный центр ""Жемчужина"" (Обособка)";"Коммунальное унитарное предприятие ""Детский реабилитационно-оздоровительный центр ""Жемчужина"" (Обособка)";"Вид отдыха";"Вид отдыха";"Вид отдыха";"Индивидуальный";"Индивидуальный";"Индивидуальный";"Номер заезда/смены";"Номер заезда/смены";"Номер заезда/смены";"II смена";"II смена";"II смена";"Период заезда/смены";"Период заезда/смены";"Период заезда/смены";"22.06.2019 - 12.07.2019";"22.06.2019 - 12.07.2019";"22.06.2019 - 12.07.2019";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"18";"Болезни глаза";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"19";"Болезни уха и сосцевидного отростка";"1";"0";"2";"2";"5";"5";"5";"6";"5";"5";"4";"9";"7";"3";"9";"8";"6";"3";"0";"1";"0";"86"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"21";"Болезни органов дыхания";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"0";"0";"1";"2";"1";"1";"3";"3";"3";"0";"27"
"22";"Болезни органов пищеварения";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"5"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"28";"Всего";"4";"1";"3";"4";"6";"8";"7";"8";"6";"7";"6";"9";"7";"4";"11";"9";"7";"7";"4";"4";"0";"122"
"29";"Страховые случаи";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"4";"2";"3";"3";"1";"3";"4";"3";"0";"38"
