"";"Таблица.1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23"
"12";"Наименование организации отдыха";"Детский оздоровительный комплекс ""Жемчужина России""";"Детский оздоровительный комплекс ""Жемчужина России""";"Детский оздоровительный комплекс ""Жемчужина России""";"Вид отдыха";"Вид отдыха";"Вид отдыха";"Индивидуальный";"Индивидуальный";"Индивидуальный";"Номер заезда/смены";"Номер заезда/смены";"Номер заезда/смены";"III смена";"III смена";"III смена";"Период заезда/смены";"Период заезда/смены";"Период заезда/смены";"19.07.2019 - 08.08.2019";"19.07.2019 - 08.08.2019";"19.07.2019 - 08.08.2019";"Всего"
"14";"Период отдыха (дни)";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"Всего"
"15";"Инфекционные и паразитарные заболевания";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"16";"Болезни эндокринной системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"17";"Болезни нервной системы";"1";"1";"0";"0";"1";"2";"3";"0";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"13"
"18";"Болезни глаза";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"19";"Болезни уха и сосцевидного отростка";"0";"0";"0";"1";"0";"2";"4";"0";"2";"2";"1";"2";"2";"0";"0";"3";"0";"0";"2";"2";"0";"23"
"20";"Болезни сердечно-сосудистой системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"21";"Болезни органов дыхания";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3"
"22";"Болезни органов пищеварения";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"5"
"23";"Болезни органов мочеполовой системы";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"24";"Отравления";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"25";"Тепловые удары";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"26";"Экстренные и неотложные состояния";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"27";"Болезни кожи неинфекционные";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"28";"Всего";"1";"2";"0";"3";"3";"4";"8";"0";"3";"3";"2";"2";"3";"1";"0";"4";"0";"0";"3";"3";"0";"45"
"29";"Страховые случаи";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
